accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
7364,12924,-10060,6593,-4121,-795,fall,0.462627216,-0.076111017,-0.058609581
2916,14792,-11680,6729,-1671,-3270,fall,0.471793489,0.132470628,-0.315805882
2944,3324,-8784,3642,-3577,-4384,fall,0.26373256,-0.029797378,-0.431570196
1444,3392,-3444,3175,-7361,-3924,fall,0.232257195,-0.3519496,-0.383768056
-200,3424,-3784,3323,-2527,-1820,fall,0.242232257,0.059594756,-0.165125221
1796,4364,-6492,5120,-4392,-717,fall,0.363348386,-0.0991827,-0.050504001
-244,7152,-9928,5718,-4231,-8,fall,0.40365303,-0.085475907,0.023173646
956,6184,-11264,2003,-1136,1722,fall,0.153265485,0.178018049,0.202951263
208,11760,-14396,864,2169,3192,fall,0.076497944,0.459390431,0.355710277
404,9212,-15520,2065,3107,1806,fall,0.157444227,0.539247403,0.211680349
1584,9296,-14728,1708,1636,261,fall,0.133382759,0.414013281,0.051127507
832,7912,-15228,-394,2917,-75,fall,-0.008290086,0.523071684,0.016211161
2772,9036,-15516,-1336,1971,1248,fall,-0.071780009,0.442533628,0.153694274
1536,9524,-15016,-1670,347,514,fall,-0.094291299,0.304273795,0.077418684
2176,8892,-14592,-2156,1819,1583,fall,-0.127047247,0.429593053,0.188506703
2780,8624,-13800,-2451,2516,2247,fall,-0.146929972,0.488932403,0.257508054
3332,9556,-13852,-2121,1179,2947,fall,-0.124688279,0.375106419,0.330250442
3272,9104,-14496,-3926,2268,3441,fall,-0.2463436,0.467818832,0.381585784
4216,9672,-15680,-3293,1721,3993,fall,-0.203679989,0.421249787,0.438948353
5256,9900,-14852,-4198,-2731,4265,fall,-0.264676147,0.042227141,0.467213967
4068,10488,-14468,-4585,-3667,4816,fall,-0.290759588,-0.037459561,0.524472618
3116,9512,-14132,-3185,-4087,3275,fall,-0.19640089,-0.073216414,0.364335446
5660,9904,-14108,-1007,-1890,4021,fall,-0.049605715,0.113825983,0.441858048
6388,9704,-14708,-2845,-3439,2718,fall,-0.173485206,-0.018048697,0.306453289
6780,11508,-15880,-2145,-4156,2975,fall,-0.126305857,-0.079090754,0.333160137
6624,10264,-14664,-804,-4765,2463,fall,-0.035923704,-0.130938192,0.279954276
4872,9784,-13992,485,-3230,3063,fall,0.050953697,-0.000255406,0.342304895
5320,9692,-12888,-704,-1307,3446,fall,-0.029183797,0.163459901,0.382105373
6080,11520,-12912,-1826,-596,3936,fall,-0.104805554,0.223991146,0.433025044
4224,10716,-12696,-3081,-1570,2688,fall,-0.189391386,0.1410693,0.303335758
3896,10352,-12628,-3510,-618,1251,fall,-0.218305587,0.222118168,0.154006027
5000,10676,-13328,-4051,88,365,fall,-0.254768484,0.282223736,0.061934948
5716,10868,-13424,-4006,208,-80,fall,-0.251735526,0.29243998,0.015691572
4996,12428,-14452,-2922,183,-1547,fall,-0.178674934,0.290311595,-0.136755689
4640,12852,-14104,-1454,571,-3552,fall,-0.0797331,0.323344117,-0.345110672
5736,14504,-13848,-1857,6437,-3371,fall,-0.106894925,0.82274817,-0.326301569
4572,10140,-10356,1313,2862,-2149,fall,0.106760127,0.518389239,-0.199314143
3584,10968,-10564,-1305,1533,-1759,fall,-0.069690638,0.405244338,-0.158786241
3512,14044,-11208,-2923,3259,-699,fall,-0.178742333,0.552187979,-0.048633482
4804,12136,-9740,-3071,1786,317,fall,-0.188717396,0.426783586,0.056946898
