accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
2052,10844,-13084,-1276,694,-463,standing,0.11434688,0.397554614,0.026599113
2356,11404,-13728,-154,388,-257,standing,0.154048938,0.382911014,0.042906903
1540,11308,-13776,-1854,-48,-293,standing,0.093894305,0.362046276,0.040056998
1476,11392,-13484,234,127,-304,standing,0.167778348,0.370420884,0.039186194
2180,11208,-13252,-285,819,-172,standing,0.149413492,0.403536477,0.049635845
2128,11472,-13560,-829,85,96,standing,0.13016401,0.368410978,0.070851805
1960,11384,-13476,-1237,-670,-89,standing,0.115726898,0.332280525,0.05620646
2780,11440,-13160,-2240,-1860,341,standing,0.080235665,0.27533319,0.090246992
2756,11408,-13664,-3114,-3278,965,standing,0.049309106,0.207474936,0.139645345
2016,11780,-13692,-2427,-4587,993,standing,0.073618655,0.144832867,0.141861938
3008,12008,-13288,-995,-3660,2031,standing,0.124290087,0.189194363,0.224034199
1864,11860,-12984,-2334,-4534,2568,standing,0.076909467,0.147369177,0.266545282
284,12552,-13380,-1248,-4628,2811,standing,0.115337662,0.142870816,0.285782141
-532,11616,-12376,1038,-5367,3349,standing,0.196227951,0.107506042,0.328372388
-944,13276,-13044,499,-2960,3316,standing,0.177155394,0.222692795,0.325759975
592,12736,-13216,803,-4983,3807,standing,0.187912457,0.125882325,0.364629512
1216,11632,-13460,-1753,-6770,5214,standing,0.097468198,0.040365611,0.4760133
-316,12032,-12056,-2132,-12115,6603,standing,0.084057253,-0.21541885,0.585972134
-2100,11528,-11904,-3224,-12958,8354,standing,0.045416748,-0.255760534,0.724588347
-1144,13436,-9928,14,-8839,8357,standing,0.159993631,-0.058646185,0.724825839
-1428,12596,-9424,-11259,-2674,1320,standing,-0.238902355,0.236379298,0.167748575
-120,17780,7064,7624,3400,401,standing,0.429274075,0.527049984,0.094996833
-444,14092,-7792,4591,-244,3918,standing,0.321951133,0.352666715,0.373416719
-676,14108,-12084,3590,2490,1779,standing,0.28653067,0.483502022,0.204084864
0,12556,-10492,1898,169,1881,standing,0.226659118,0.37243079,0.212159595
1076,13700,-11228,7006,-4616,3819,standing,0.407406097,0.143445075,0.365579481
-652,10532,-11368,1909,-3369,1610,standing,0.227048354,0.20312014,0.190706143
1096,11488,-12632,14509,-5783,1355,standing,0.672900338,0.087598402,0.170519316
1032,16316,-15908,5117,-973,1003,standing,0.340563684,0.31778049,0.142653578
-712,10060,-15080,-3115,-2601,-297,standing,0.049273721,0.239872706,0.039740342
-1132,9428,-13048,16746,-547,2965,standing,0.752056758,0.338166679,0.297973401
588,9608,-14992,5445,-111,3054,standing,0.35216999,0.359031417,0.305018999
-128,9864,-14816,-313,6530,-363,standing,0.14842271,0.676835834,0.034515516
1372,11260,-16776,-4866,-392,-592,standing,-0.012685551,0.345584189,0.016386954
-1552,5124,-14324,-4891,-6266,996,standing,-0.013570177,0.064484483,0.14209943
-316,9284,-12832,8998,-402,7471,standing,0.477893172,0.34510564,0.65468651
-792,11776,-13536,21014,-11385,9536,standing,0.903080271,-0.18048477,0.818160228
356,14536,-20488,19006,-876,4911,standing,0.832027034,0.322422415,0.452026599
440,8276,-17368,-11173,5045,-2639,standing,-0.235859238,0.605771301,-0.145661811
500,8272,-16680,2539,-524,-1263,standing,0.249340953,0.339267341,-0.036732109
2384,6240,-16228,4208,-1145,-835,standing,0.308398648,0.309549446,-0.002849905
-564,3816,-27264,5234,4668,-5080,standing,0.344703738,0.587730003,-0.338901203
300,1704,-15708,5884,2008,-2235,standing,0.367704039,0.460435958,-0.113679544
1244,4568,-14572,13643,-4353,-4164,standing,0.64225686,0.156030914,-0.266386954
772,5456,-21000,2708,-4056,-2847,standing,0.255321031,0.170243821,-0.162127929
-120,3844,-15644,-5507,5549,-2075,standing,-0.035367386,0.629890173,-0.1010133
1300,3040,-17560,-4865,4290,-974,standing,-0.012650165,0.569640849,-0.013853705
2280,4036,-17924,-1247,-754,785,standing,0.115373047,0.328260714,0.12539582
1708,6344,-15440,-3443,-1923,110,standing,0.037667416,0.272318331,0.071960101
1284,3576,-18052,-3226,-4121,1805,standing,0.045345978,0.167133252,0.206143129
144,3832,-19108,-3100,-625,764,standing,0.049804497,0.334433996,0.123733376
1384,5996,-17312,-4059,1575,1032,standing,0.015870208,0.439714785,0.144949335
1084,5904,-17272,-4623,3928,2784,standing,-0.004086977,0.552317374,0.283644712
2324,5468,-15980,-2632,4420,3330,standing,0.066364714,0.575861986,0.326868271
2832,5524,-15452,-2186,5424,4379,standing,0.082146459,0.62390831,0.409911336
2056,7712,-17240,1627,2261,-872,standing,0.217069762,0.472543249,-0.005778974
6708,10548,-17840,2941,5124,-3376,standing,0.263565754,0.609551839,-0.2040057
3160,-492,2032,3544,-3396,957,standing,0.284902956,0.201828057,0.139012033
3708,8156,-16488,1664,2933,-952,standing,0.21837901,0.504701744,-0.012112096
3480,7520,-16720,-1594,179,1979,standing,0.103094425,0.372909339,0.219917669
3104,7476,-16900,2874,-1671,3826,standing,0.261194954,0.284377767,0.366133629
4500,6672,-16232,1729,-4254,1968,standing,0.22067904,0.16076855,0.219046865
3436,6704,-16336,2401,-3505,2324,standing,0.244457812,0.196611873,0.247229259
3492,2628,-19580,9991,-9171,1393,standing,0.513030555,-0.074534013,0.173527549
3248,2436,-18696,5009,-7064,2684,standing,0.336742096,0.02629627,0.275728309
5376,-416,-16656,4130,1690,3724,standing,0.305638612,0.445218099,0.358058898
3616,1456,-18952,3758,806,5905,standing,0.292475363,0.402914364,0.530715643
4068,500,-18364,2846,-342,3904,standing,0.260204172,0.347976934,0.372308423
2832,192,-18240,2760,-2441,3634,standing,0.257161055,0.247529491,0.350934136
4480,-352,-16804,4379,1015,1563,standing,0.314449497,0.412916039,0.186985434
4548,3012,-21152,914,-2650,2431,standing,0.191840201,0.237527816,0.25569981
2608,496,-18036,-7202,-943,3222,standing,-0.095345093,0.319216137,0.318318556
3304,-6424,-22596,4304,-3141,373,standing,0.311795616,0.214031058,0.092780241
-896,1220,-17684,-15296,6617,-487,standing,-0.381751915,0.68099921,0.024699177
-3152,-240,-19864,2752,-3602,3735,standing,0.256877975,0.191969947,0.358929702
1524,300,-18220,4231,-1762,913,standing,0.309212505,0.28002297,0.135528816
-864,-1256,-16528,-3372,-4083,-115,standing,0.040179756,0.168951738,0.054148195
708,-1332,-19048,43,-3055,312,standing,0.161019798,0.21814658,0.087951235
352,-1024,-18820,1425,-3679,2146,standing,0.209921976,0.18828512,0.233138062
-16,-1892,-17840,1176,1070,1413,standing,0.201111091,0.415548058,0.17511083
228,-2024,-17276,785,-1021,340,standing,0.187275526,0.315483454,0.090167828
4,-1860,-18604,-1528,2251,-18,standing,0.10542984,0.4720647,0.061827106
-332,-1784,-16192,-71,1570,1026,standing,0.156985899,0.43947551,0.144474351
4,-2040,-17844,-3375,3851,3094,standing,0.040073601,0.548632546,0.30818556
1272,-1868,-17480,-6245,4087,3753,standing,-0.061481573,0.559926303,0.360354655
856,-1572,-19360,-2143,3511,4742,standing,0.083668017,0.532361879,0.438647878
1616,-1120,-18820,-2604,2838,6761,standing,0.067355496,0.500155528,0.598480051
1876,48,-18472,72,-1322,3748,standing,0.162045965,0.301079128,0.359958835
1400,-680,-17592,1142,-1454,3421,standing,0.199907999,0.294762281,0.334072198
1268,-220,-18236,-1123,1203,3315,standing,0.119760797,0.421912761,0.325680811
1360,-608,-18360,-1239,1568,2704,standing,0.115656128,0.4393798,0.27731159
1508,-44,-19216,-3523,-195,1733,standing,0.034836609,0.355011605,0.200443319
1420,616,-19728,-3449,-5801,1021,standing,0.037455105,0.086737013,0.144078531
1204,488,-17120,-3355,354,1100,standing,0.040781303,0.381283947,0.150332489
1968,1420,-17916,-4372,5313,1204,standing,0.004794678,0.618596416,0.158565548
1940,820,-18500,-3423,6586,1192,standing,0.038375117,0.679515708,0.157615579
2692,1788,-16528,-4081,9816,2826,standing,0.015091736,0.834087048,0.286969601
4424,2384,-17204,-2503,5377,2036,standing,0.070929389,0.62165913,0.224430019
5044,2064,-17292,-2585,3007,1513,standing,0.068027813,0.508243007,0.183027232
5332,2400,-17312,-1840,3558,796,standing,0.094389696,0.534611059,0.126266624
5672,2448,-17128,-628,2014,-437,standing,0.137276411,0.460723088,0.028657378
5504,3008,-16888,-830,1279,-413,standing,0.130128625,0.425549733,0.030557315
5916,2896,-17824,-206,676,-2448,standing,0.152208914,0.396693226,-0.130541482
5740,2640,-16896,-427,-75,-2604,standing,0.144388811,0.360754193,-0.14289107
5540,2284,-16900,-1273,702,-3161,standing,0.114453035,0.397937454,-0.186985434
5552,2624,-17016,-2061,760,-2473,standing,0.086569594,0.400713038,-0.132520583
6188,3864,-17084,-493,-1036,-3979,standing,0.142053396,0.314765631,-0.251741609
5900,4116,-18396,1413,-6077,-6550,standing,0.209497355,0.07352906,-0.455272324
4628,3664,-18684,3597,-12037,-8881,standing,0.286778366,-0.211686168,-0.639803673
2460,3128,-19348,1608,-10709,-10174,standing,0.216397445,-0.148134855,-0.742162761
936,2684,-18164,-1134,-11482,-13431,standing,0.119371561,-0.185126696,-1
-844,2932,-17860,-2764,-6300,-11096,standing,0.061693884,0.062857416,-0.815151995
-1804,3848,-17956,-8085,-3400,-13343,standing,-0.126590117,0.201636638,-0.993033566
-2760,4140,-17000,-5513,-141,-11197,standing,-0.035579696,0.35759577,-0.823147562
-3576,3908,-16980,-5253,1543,-8437,standing,-0.026379576,0.438183428,-0.604654845
-3136,3944,-17768,-3722,2391,-7610,standing,0.027794979,0.478764386,-0.539186194
-3140,4056,-16108,-5995,2611,-5688,standing,-0.052635304,0.489292465,-0.387032932
-3724,4164,-16168,-1720,4602,-11440,standing,0.098635905,0.584571579,-0.842384421
-3972,4564,-17440,-4449,993,-4277,standing,0.002070027,0.411863231,-0.275332489
-3208,4392,-15632,-3949,4613,-908,standing,0.019762566,0.585097983,-0.008628879
-3028,5924,-17224,-2139,1853,-1475,standing,0.083809558,0.453018448,-0.053514883
-3016,5680,-16960,-2577,1828,-2567,standing,0.068310893,0.451822075,-0.139962001
-2288,7264,-17552,-9390,1951,-1551,standing,-0.172767644,0.457708229,-0.059531349
