accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
-11748,1012,-3312,-7208,4990,-5589,walking,-0.219958801,0.237805257,-0.044490147
-14220,9608,-3212,-15950,1829,4506,walking,-0.486747539,0.106858054,0.310411503
-15952,4724,996,8365,-1844,-2461,walking,0.255298695,-0.045299198,0.065478388
-15688,1588,1068,9999,2953,3618,walking,0.305165179,0.153420742,0.279192814
-17016,2492,668,-716,2530,-63,walking,-0.02183566,0.135897595,0.149782911
-11792,996,-1068,-7261,4485,1569,walking,-0.221576257,0.216885188,0.207157799
-14176,2968,-336,-3977,-7780,-1868,walking,-0.121355001,-0.291203215,0.086326003
-18004,3288,1508,11643,-6849,-369,walking,0.355336843,-0.252635722,0.139025119
-13980,2472,884,4755,-757,-3444,walking,0.145128557,-0.000269268,0.030919861
-16320,3992,-4332,8174,-6217,-4962,walking,0.249469749,-0.226454566,-0.022447222
-17096,3108,-16,-13613,2217,-703,walking,-0.415426871,0.122931295,0.127282955
-17940,2340,1172,-2529,8643,4956,walking,-0.077164874,0.389133992,0.326231785
-11960,2468,-4756,-1226,11277,-3839,walking,-0.037399863,0.498249757,0.01703317
-13540,2608,4588,29053,-14139,9787,walking,0.886655985,-0.554630378,0.496071297
-20764,2012,552,-4583,2080,-6691,walking,-0.139848936,0.11725595,-0.083232259
-13796,2536,-504,-13146,3749,-911,walking,-0.401174945,0.186395741,0.119970469
-12736,1996,-796,-3738,-8466,402,walking,-0.114061189,-0.319621367,0.166130535
-16808,3248,-1084,-5494,2577,-1678,walking,-0.167650874,0.137844612,0.093005678
-13308,2252,-1816,2324,1929,-287,walking,0.070939193,0.111000642,0.141907926
-15912,2780,-392,5456,-9144,2353,walking,0.166521706,-0.347708113,0.234720245
-14732,3896,1024,67,-3788,524,walking,0.002059968,-0.125831107,0.170419589
-17908,3484,-88,3453,4513,843,walking,0.105394064,0.218045113,0.181634411
-14288,1992,-2376,-10125,13034,1465,walking,-0.308979934,0.571035026,0.203501556
-12992,2260,-2124,-4038,4837,1723,walking,-0.123216602,0.231467097,0.21257185
-15744,2904,1380,-694,-2869,1180,walking,-0.021164263,-0.087760724,0.193482044
-15376,2324,544,-9880,2807,872,walking,-0.301503014,0.147372564,0.18265394
-13504,3452,164,768,-361,-1001,walking,0.023453117,0.01613538,0.116806412
-14484,1904,-1280,2712,-10633,1256,walking,0.082780194,-0.409391247,0.196153914
-16796,3584,-424,-4740,-6459,-846,walking,-0.144640269,-0.236479629,0.122255621
-14336,2792,-1196,-2112,-4557,-867,walking,-0.064438849,-0.157687607,0.121517341
-14684,2844,-740,2410,-3183,651,walking,0.073563745,-0.10076845,0.174884424
-15584,2864,-1424,2413,-475,95,walking,0.073655299,0.01141283,0.155337587
-15424,2968,-256,1897,3208,-421,walking,0.057907988,0.163984341,0.137196998
-15212,2988,-72,5106,4874,550,walking,0.155840391,0.232999855,0.17133365
-14840,2432,-376,2882,4148,47,walking,0.087968261,0.202924667,0.153650091
-15344,2644,264,2744,595,-271,walking,0.083756771,0.05573852,0.142470425
-15256,2636,628,470,-1937,-534,walking,0.01435874,-0.049151805,0.133224349
-14576,2416,180,-3203,-173,-34,walking,-0.097734035,0.023923445,0.15080244
-13996,2516,-1164,-190,-3216,157,walking,-0.005783169,-0.102135504,0.15751727
-16392,3060,-768,4442,-7185,1245,walking,0.13557641,-0.266554817,0.195767196
